"ChIJ2_VD1FBoXEgRT7jLSpOX9bs","Ardscoil Mhuire, Mackney, Ballinasloe","Ard Scoil Mhuire ballinasloe","78","1","1","5","8","0","19","0","0","0","0","0","0","1","0","10","0","0","6","0","0","0","0","1","4","0","0","6","0","0","62","0.79",
"ChIJ33V7X7XpXkgRYy9pL31stis","Mercy College, Chapel Hill, Sligo","Mercy College","46","4","1","6","1","4","4","0","0","0","0","0","0","1","0","0","0","0","3","0","0","10","0","3","1","0","1","0","0","0","39","0.85",
"ChIJ34uYDdUNZ0gRwBp3Fy-23Jo","Mount Carmel Sec School, Kings Inn St","Mount Carmel Secondary School","49","1","5","3","0","4","0","0","0","0","0","3","0","5","2","1","0","2","0","2","0","0","0","1","0","0","0","0","0","0","29","0.59",
"ChIJ3cZw_bSwREgRAmia36KPuh4","Scoil Mhuire, Clochar na Trocaire, Ceann Toirc, Mala Co Chorcai","Scoil Mhuire Na Trocaire","66","2","1","0","7","0","3","9","0","0","0","0","1","0","0","0","16","0","1","0","3","0","6","0","2","1","1","5","0","0","58","0.88",
"ChIJ3cZw_bSwREgRknldXY56kao","Coláiste Pobail Naomh Mhuire, Cill na Mullach","Coláiste Pobail Noamh Mhuire","36","0","0","0","6","1","1","7","0","0","0","0","0","0","0","0","7","0","1","0","1","0","1","0","2","0","0","1","0","0","28","0.78",
"ChIJ3dKOTN3eW0gRd7IrtvAfaXU","Coláiste Muire, Tuar Mhic Eadaigh, Clar Chlainne Mhuiris","Coláiste Muire","13","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","8","0.62",
"ChIJ3dLRPR3AXUgRccDY97YySMk","St Joseph’s Secondary, Rochfortbridge","St Josephs Secondary School","144","6","2","6","4","11","2","0","0","0","0","1","0","5","0","39","1","1","4","1","1","5","1","2","0","2","0","0","1","0","95","0.66",
"ChIJ3ymQ_wBJXEgREEE_oVrtp3Q","St Joseph’s College, Summerhill, Athlone","St Joseph's College","34","0","1","1","2","2","4","0","1","0","0","0","0","1","0","12","0","0","1","0","0","0","0","0","1","0","1","3","0","0","30","0.88",
"ChIJ45e7Oh-5QkgRxlQv-WPr-Dk","Ramsgrane Community School, Ramsgrange, New Ross","Ramsgrange Community School","36","1","0","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","16","0","0","0","0","27","0.75",
"ChIJ46HkjEvrX0gR_dDdo6XonYg","Errigal College, Windyhall, Letterkenny","Errigal College","33","0","0","0","0","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","16","0","0","0","0","0","0","21","0.64",
"ChIJ47oJKKhxZ0gRGQakvGTONdU","Maynooth Post Primary School, Moyglare Road, Maynooth","Maynooth Post Primary","188","9","17","9","2","72","5","2","0","0","0","13","1","15","2","2","3","1","0","0","1","0","0","0","0","1","2","0","4","0","161","0.86",
"ChIJ48s9NwyQREgR5D2yJD2iYa4","*Christian Brothers College, Sidney Hill,, Wellington Road, Cork","Christian Brother's College Cork","143","4","4","0","7","0","2","124","0","0","0","0","0","0","0","0","16","0","0","1","0","0","2","0","2","0","0","1","0","0","163","1.14",
