"ChIJ3cZw_bSwREgRknldXY56kao","Coláiste Pobail Naomh Mhuire, Cill Na Mullach, Co. Corcaigh","Coláiste Pobail Noamh Mhuire","29","0","0","0","2","0","0","7","0","0","0","0","0","0","0","0","6","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","19","0.655",
"ChIJ3dKOTN3eW0gRd7IrtvAfaXU","Coláiste Muire, Tuar Mhic Eadaigh, Clar Chlainne Mhuiris, Co. Mhaigh Eo","Coláiste Muire","32","2","0","0","5","2","4","1","0","0","0","0","0","1","0","1","0","0","5","0","0","2","0","0","2","0","0","0","5","0","0","0","30","0.938",
"ChIJ3dLRPR3AXUgRccDY97YySMk","St Joseph's Secondary, Rochfortbridge, Co Westmeath","St Josephs Secondary School","146","9","2","13","3","27","9","0","1","0","0","0","0","9","2","25","0","1","8","0","0","4","0","1","1","1","1","0","0","0","0","0","117","0.801",
"ChIJ3eSNRcteW0gR3CMiFQmYyHk","Castletroy Community College, Newtown, Castletroy, Co Limerick","Castletroy College","191","5","2","1","88","0","6","8","0","0","0","0","0","1","0","0","0","0","3","0","0","1","2","0","51","1","0","0","14","0","0","1","184","0.963",
"ChIJ3ymQ_wBJXEgREEE_oVrtp3Q","St Joseph's College, Summerhill, Athlone, Co Westmeath","St Joseph's College","20","1","1","4","1","1","7","0","0","0","0","0","0","0","0","11","0","0","2","0","1","1","1","0","1","0","1","0","0","0","0","0","33","1.65",
"ChIJ45e7Oh-5QkgRxlQv-WPr-Dk","Ramsgrane Community School, Ramsgrange, New Ross, Co Wexford","Ramsgrange Community School","58","2","0","1","3","0","1","3","0","0","0","1","0","1","0","0","2","0","1","0","3","0","0","0","0","27","0","0","0","1","0","0","46","0.793",
"ChIJ46HkjEvrX0gR_dDdo6XonYg","Errigal College, Windyhall, Letterkenny, Co. Donegal","Errigal College","52","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","20","0","0","0","0","0","0","0","0","26","0.5",
"ChIJ47oJKKhxZ0gRGQakvGTONdU","Maynooth Post Primary School, Moyglare Road, Maynooth, Co. Kildare","Maynooth Post Primary","198","14","23","10","3","72","3","2","0","0","0","8","0","23","0","0","0","0","1","0","3","0","0","0","0","1","0","0","0","5","0","0","168","0.848",
"ChIJ48s9NwyQREgR5D2yJD2iYa4","Christian Brothers College, Sidney Hill,, Wellington Road, Cork","Christian Brother's College Cork","119","2","5","1","1","0","2","91","0","0","0","0","0","0","0","0","23","0","1","0","0","1","0","0","1","0","0","0","2","0","0","0","130","1.092",
"ChIJ4wQpvrRxZ0gRnyyorotH-Ss","Salesian College, Maynooth Road, Celbridge, Co Kildare","Salesian College","103","9","2","2","1","41","1","0","0","0","0","7","0","14","6","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","86","0.835",
