"ChIJ2_VD1FBoXEgRT7jLSpOX9bs","Ardscoil Mhuire, Mackney, Ballinasloe ","Ard Scoil Mhuire ballinasloe","75","3","1","0","6","3","22","1","0","0","0","0","0","0","0","16","0","0","14","0","0","4","0","0","0","0","0","3","0","0","0","0","0","73","0.97",
"ChIJ33V7X7XpXkgRYy9pL31stis","Mercy College, Chapel Hill, Sligo ","Mercy College","48","1","1","4","0","2","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","11","0","3","0","0","0","0","0","0","0","0","0","25","0.52",
"ChIJ3cZw_bSwREgRAmia36KPuh4","Scoil Mhuire, Clochar na Trocaire, Ceann Toirc, Mala Co Chorcai","Scoil Mhuire Na Trocaire","40","0","1","1","7","0","1","4","0","0","0","0","0","0","0","0","7","0","0","0","0","0","4","0","2","1","0","2","0","0","0","0","0","30","0.75",
"ChIJ3cZw_bSwREgRknldXY56kao","Coláiste Pobail Naomh Mhuire, Cill na Mullach","Coláiste Pobail Noamh Mhuire","34","0","0","1","5","0","1","2","1","0","0","0","0","0","0","0","3","0","0","0","0","0","7","0","1","1","0","3","0","0","0","0","0","25","0.74",
"ChIJ3dKOTN3eW0gRd7IrtvAfaXU","Coláiste Muire, Tuar Mhic Eadaigh, Clar Chlainne Mhuiris ","Coláiste Muire","15","0","0","0","2","1","2","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0.6",
"ChIJ3dLRPR3AXUgRccDY97YySMk","St Joseph’s Secondary, Rochfortbridge ","St Josephs Secondary School","148","6","2","9","6","10","7","1","0","0","0","1","0","3","1","28","0","1","8","1","1","9","0","0","2","4","2","1","1","0","0","0","0","104","0.7",
"ChIJ3ymQ_wBJXEgREEE_oVrtp3Q","St Joseph’s College, Summerhill, Athlone ","St Joseph's College","32","1","1","0","2","2","7","0","0","0","0","0","0","0","0","12","0","0","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","30","0.94",
"ChIJ45e7Oh-5QkgRxlQv-WPr-Dk","Ramsgrane Community School, Ramsgrange, New Ross ","Ramsgrange Community School","44","0","0","3","0","2","0","5","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","21","0","2","1","0","0","0","0","38","0.86",
"ChIJ46HkjEvrX0gR_dDdo6XonYg","Errigal College, Windyhall, Letterkenny","Errigal College","45","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","16","0","0","0","1","0","0","0","0","0","21","0.47",
"ChIJ47oJKKhxZ0gRGQakvGTONdU","Maynooth Post Primary School, Moyglare Road, Maynooth ","Maynooth Post Primary","182","13","17","13","1","73","3","0","0","0","0","11","3","13","3","4","0","1","0","3","0","0","1","0","0","2","2","0","1","1","0","1","0","166","0.91",
"ChIJ48s9NwyQREgR5D2yJD2iYa4","*Christian Brothers College, Sidney Hill,, Wellington Road, Cork","Christian Brother's College Cork","142","3","4","0","4","0","1","106","0","0","0","0","0","2","0","0","32","0","0","2","0","0","0","0","1","1","0","1","0","2","0","0","0","159","1.12",
